,view,nature,interior,location,other
2,,,stue,,
4,,,køkken,,
5,,,badeværelse,,
7,,,plads,,
9,,,terrasse,,
13,,,,område,
14,,,,by,
15,,,udgang,,
17,udsigt,,,,
18,,,rum,,
19,,,,skole,
20,,,soveværelse,,
24,,have,,,
25,,,brygger,,
29,natur,natur,,natur,
31,,,køkkenalrum,,
37,,,garage,,
38,,,kælder,,
40,,,,vej,
42,,,vindue,,
44,,,carport,,
47,,,,indkøb,
49,,,altan,,
50,,,,omgivelse,
51,,,lysindfald,,
52,skov,skov,,skov,
53,,,loft,,
55,vand,vand,,vand,
56,,,brændeovn,,
57,,,,indkøbsmulighed,
60,,,opholdsstue,,
61,,,udhus,,
62,,,trappe,,
63,,,gang,,
64,,,,strand,
65,,,bruseniche,,
67,,sol,,,
69,,,entre,,
70,,,gulv,,
71,,,gulvvarme,,
72,,,værksted,,
74,,,,gåafstand,
77,,skøn,,,
78,,,toilet,,
80,,,vinduesparti,,
81,,,,centrum,
85,,,spisestue,,
86,,,,kørsel,
87,,,,stand,
89,,,spiseplads,,
90,,,,daginstitution,
93,,,førstesal,,
94,,,indgang,,
96,,,udestue,,
97,,,vaskemaskine,,
99,,,skabsplads,,
101,,,etage,,
102,,,,adresse,
103,,,ende,,
105,,,størrelse,,
106,,,opbevaring,,
108,,,gæstetoilet,,
109,,,lyst,,
111,,,,børnehave,
112,,,,fritidshus,
113,,,kontor,,
114,,,hvidevare,,
115,,,stil,,
116,,,bygning,,
117,,,børneværelse,,
118,,,trægulv,,
120,,,repos,,
121,,,væg,,
122,,,indkørsel,,
124,,,materiale,,
125,mark,mark,,,
126,,,udstykning,,
127,,,facade,,
129,,atmosfære,atmosfære,,
131,,,spisebord,,
133,,,træterrasse,,
135,,,,placering,
136,,,,millimeter,
137,,,,station,
138,,,indflytningsklar,,
139,,,opholdsrum,,
140,tur,tur,,tur,
141,,,stueetage,,
142,,stisystem,,stisystem,
143,,,græsplæne,,
145,,,,aktivitet,
147,,,,,ejer
148,,,,nabo,
149,sø,sø,,sø,
150,,,alrum,,
152,,,,havn,
153,,sommer,,,
154,,,tag,,
155,,badestrand,,badestrand,
156,kig,,,,
157,,,boligareal,,
158,,,badekar,,
160,,lys,lys,,
162,,,,stemning,
163,,,fordelingsgang,,
164,,,,vest,
165,,,,cykel,
166,,,,,leg
167,,,,butik,
169,,,,legeplads,
170,,ro,,ro,
171,,,skab,,
172,,,,landsby,
173,,,klinkegulv,,
174,,,,hygge,
175,,,rækkehus,rækkehus,
176,,,stuehus,stuehus,
177,,,,restaurant,
178,,luft,,,
179,motorvej,,,motorvej,
181,,,vinkelstue,,
182,,,varmepumpe,,
183,,baghave,baghave,,
184,,,,,afdeling
186,,gåtur,,gåtur,
187,,,,facilitet,
188,,,vaskefacilitet,,
189,,,gårdhave,,
191,,,inventar,,
192,fjord,fjord,,fjord,
194,,græs,græs,,
195,,,spisekøkken,,
196,,,renovering,,
197,,,,,salg
198,,,vaskerum,,
202,,,skur,,
203,,,opholdsmiljø,,
204,,,viktualierum,,
205,,,,transport,
206,,,,bus,
207,,,plankegulv,,
209,,,nybolig,,
210,,sti,,sti,
212,,land,,land,
214,,,,,udlejning
217,,,depoter,,
220,,,bryggers,,
221,,landskab,,landskab,
222,,,,fritidsaktivitet,
223,,,hems,,
226,hav,hav,,,
228,,,underetage,,
229,,,hall,,
232,,,flis,,
233,,,bjælke,,
237,,,,foreningsliv,
238,,,redskabsrum,,
239,,gård,,,
240,,,klinke,,
244,,,,vestvendt,
245,,,,villavej,
246,,anneks,anneks,,
249,,ugenert,,ugenert,
250,,,fliseterrasse,,
251,,,,spisested,
252,,,fjernvarme,,
254,,beplantning,,,
256,,,,cykelafstand,
259,,,,busforbindelse,
260,,gårdsplads,,,
261,tagterrasse,,tagterrasse,,
267,,drivhus,drivhus,,
268,,cykeltur,,cykeltur,
269,,,fyrrum,,
270,,,,,erhverv
271,,,tilbygning,,
272,,miljø,,,
278,,,tegltag,,
279,,,mursten,,
280,,,fornødenhed,,
281,,jord,,,
283,,,anvendelsesmulighed,,
286,,,plæne,,
288,,forhave,,,
289,,oase,,oase,
290,,lystbådehavn,,lystbådehavn,
291,,fred,,fred,
292,,sommerhusområde,,sommerhusområde,
293,,,,bydel,
294,,,vedligeholdelse,,
296,,,opbevaringsplads,,
299,,,kælderrum,,
